fastq	Accession
REP2_type2_HEK3_GTCAG_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940163
REP2_type2_HEK3_GTCAG_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940162
REP2_type2_HEK3_GTCAG_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940161
REP2_type2_HEK3_GTCAG_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940160
REP2_type3_AAVS1_GCTGC_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33940158
REP2_type3_AAVS1_GCTGC_pegRNA_RTT_opt_25_R1.fastq.gz	SRR33940157
REP2_type3_AAVS1_GCTGC_pegRNA_RTT_opt_27_R1.fastq.gz	SRR33940156
REP2_type3_AAVS1_GCTGC_pegRNA_RTT_opt_29_R1.fastq.gz	SRR33940155
REP2_type3_AAVS1_GCTGC_pegRNA_RTT_opt_31_R1.fastq.gz	SRR33940154
REP2_type3_AAVS1_GCTGC_pegRNA_RTT_opt_33_R1.fastq.gz	SRR33940153
REP2_type3_AAVS1_GTCAG_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33940152
REP2_type3_AAVS1_GTCAG_pegRNA_RTT_opt_25_R1.fastq.gz	SRR33940151
REP2_type3_AAVS1_GTCAG_pegRNA_RTT_opt_27_R1.fastq.gz	SRR33940150
REP2_type3_AAVS1_GTCAG_pegRNA_RTT_opt_29_R1.fastq.gz	SRR33940149
REP2_type3_AAVS1_GTCAG_pegRNA_RTT_opt_31_R1.fastq.gz	SRR33940147
REP2_type3_AAVS1_GTCAG_pegRNA_RTT_opt_33_R1.fastq.gz	SRR33940146
REP2_type3_HEK3_GCTGC_pegRNA_RTT_opt_24_R1.fastq.gz	SRR33940145
REP2_type3_HEK3_GCTGC_pegRNA_RTT_opt_26_R1.fastq.gz	SRR33940144
REP2_type3_HEK3_GCTGC_pegRNA_RTT_opt_28_R1.fastq.gz	SRR33940143
REP2_type3_HEK3_GCTGC_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940142
REP2_type3_HEK3_GCTGC_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940141
REP2_type3_HEK3_GCTGC_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940140
REP2_type3_HEK3_GCTGC_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940139
REP2_type3_HEK3_GCTGC_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940307
REP2_type3_HEK3_GTCAG_pegRNA_RTT_opt_24_R1.fastq.gz	SRR33940304
REP2_type3_HEK3_GTCAG_pegRNA_RTT_opt_26_R1.fastq.gz	SRR33940303
REP2_type3_HEK3_GTCAG_pegRNA_RTT_opt_28_R1.fastq.gz	SRR33940302
REP2_type3_HEK3_GTCAG_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940301
REP2_type3_HEK3_GTCAG_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940300
REP2_type3_HEK3_GTCAG_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940299
REP2_type3_HEK3_GTCAG_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940298
REP2_type3_HEK3_GTCAG_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940297
REP3_type1_AAVS1_GCTGC_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33940296
REP3_type1_AAVS1_GCTGC_pegRNA_RTT_opt_25_R1.fastq.gz	SRR33940295
REP3_type1_AAVS1_GCTGC_pegRNA_RTT_opt_27_R1.fastq.gz	SRR33940293
REP3_type1_AAVS1_GCTGC_pegRNA_RTT_opt_29_R1.fastq.gz	SRR33940292
REP3_type1_AAVS1_GCTGC_pegRNA_RTT_opt_31_R1.fastq.gz	SRR33940291
REP3_type1_AAVS1_GCTGC_pegRNA_RTT_opt_33_R1.fastq.gz	SRR33940290
REP3_type1_AAVS1_GTCAG_pegRNA_RTT_opt_23_R1.fastq.gz	SRR33940289
REP3_type1_AAVS1_GTCAG_pegRNA_RTT_opt_25_R1.fastq.gz	SRR33940288
REP3_type1_AAVS1_GTCAG_pegRNA_RTT_opt_27_R1.fastq.gz	SRR33940287
REP3_type1_AAVS1_GTCAG_pegRNA_RTT_opt_29_R1.fastq.gz	SRR33940286
REP3_type1_AAVS1_GTCAG_pegRNA_RTT_opt_31_R1.fastq.gz	SRR33940285
REP3_type1_AAVS1_GTCAG_pegRNA_RTT_opt_33_R1.fastq.gz	SRR33940284
REP3_type1_HEK3_GCTGC_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940281
REP3_type1_HEK3_GCTGC_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940280
REP3_type1_HEK3_GCTGC_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940279
REP3_type1_HEK3_GCTGC_pegRNA_RTT_opt_36_R1.fastq.gz	SRR33940138
REP3_type1_HEK3_GCTGC_pegRNA_RTT_opt_40_R1.fastq.gz	SRR33940137
REP3_type1_HEK3_GTCAG_pegRNA_RTT_opt_30_R1.fastq.gz	SRR33940136
REP3_type1_HEK3_GTCAG_pegRNA_RTT_opt_32_R1.fastq.gz	SRR33940135
REP3_type1_HEK3_GTCAG_pegRNA_RTT_opt_34_R1.fastq.gz	SRR33940134
