fastq	Accession
REP2_OrthoTS1cells_HEK3endogenousSeq_GTCAG_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052643
REP2_OrthoTS1cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052641
REP2_OrthoTS1cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052640
REP2_OrthoTS1cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052639
REP2_OrthoTS1cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052637
REP2_OrthoTS1cells_RNF2endogenousSeq_GCTGC_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052570
REP2_OrthoTS1cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052569
REP2_OrthoTS1cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052568
REP2_OrthoTS1cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052567
REP2_OrthoTS1cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052566
REP2_OrthoTS1cells_RNF2endogenousSeq_GTCAG_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052565
REP2_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052563
REP2_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052562
REP2_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052561
REP2_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052560
REP2_OrthoTS1cells_TSseq_GCTGC_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052559
REP2_OrthoTS1cells_TSseq_GCTGC_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052558
REP2_OrthoTS1cells_TSseq_GCTGC_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052557
REP2_OrthoTS1cells_TSseq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052556
REP2_OrthoTS1cells_TSseq_GCTGC_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052555
REP2_OrthoTS1cells_TSseq_GCTGC_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052554
REP2_OrthoTS1cells_TSseq_GCTGC_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052552
REP2_OrthoTS1cells_TSseq_GCTGC_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052551
REP2_OrthoTS1cells_TSseq_GCTGC_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052550
REP2_OrthoTS1cells_TSseq_GCTGC_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052549
REP2_OrthoTS1cells_TSseq_GCTGC_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052548
REP2_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052547
REP2_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052546
REP2_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052545
REP2_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052544
REP2_OrthoTS1cells_TSseq_GTCAG_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052965
REP2_OrthoTS1cells_TSseq_GTCAG_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052963
REP2_OrthoTS1cells_TSseq_GTCAG_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052962
REP2_OrthoTS1cells_TSseq_GTCAG_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052961
REP2_OrthoTS1cells_TSseq_GTCAG_HEK3_type1_RTT_36_R1.fastq.gz	SRR34052960
REP2_OrthoTS1cells_TSseq_GTCAG_HEK3_type1_RTT_40_R1.fastq.gz	SRR34052959
REP2_OrthoTS1cells_TSseq_GTCAG_RNF2_type1_RTT_10_R1.fastq.gz	SRR34052958
REP2_OrthoTS1cells_TSseq_GTCAG_RNF2_type1_RTT_12_R1.fastq.gz	SRR34052957
REP2_OrthoTS1cells_TSseq_GTCAG_RNF2_type1_RTT_14_R1.fastq.gz	SRR34052956
REP2_OrthoTS1cells_TSseq_GTCAG_RNF2_type1_RTT_16_R1.fastq.gz	SRR34052955
REP2_OrthoTS1cells_TSseq_GTCAG_RNF2_type1_RTT_18_R1.fastq.gz	SRR34052954
REP2_OrthoTS2cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052952
REP2_OrthoTS2cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052951
REP2_OrthoTS2cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052950
REP2_OrthoTS2cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052949
REP2_OrthoTS2cells_EMX1endogenousSeq_GCTGC_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052948
REP2_OrthoTS2cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_14_R1.fastq.gz	SRR34052947
REP2_OrthoTS2cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_16_R1.fastq.gz	SRR34052946
REP2_OrthoTS2cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_18_R1.fastq.gz	SRR34052945
REP2_OrthoTS2cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_20_R1.fastq.gz	SRR34052944
REP2_OrthoTS2cells_EMX1endogenousSeq_GTCAG_EMX1_type2_RTT_22_R1.fastq.gz	SRR34052943
REP2_OrthoTS2cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_30_R1.fastq.gz	SRR34052941
REP2_OrthoTS2cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_32_R1.fastq.gz	SRR34052939
REP2_OrthoTS2cells_HEK3endogenousSeq_GCTGC_HEK3_type1_RTT_34_R1.fastq.gz	SRR34052777
