feature,cor,p_value,q_value,rank,clone,dist_cor,feature_type
Aldob,-0.005853131334364657,0.6142833145893181,0.8132784915216508,39.0,M1-T2,0.010443341119956298,expression
Alox15,-0.007697597777721242,0.5074676526218199,0.7559153575512526,35.0,M1-T2,-0.03330658932084723,expression
Ankrd1,0.03602453727894142,0.0019171184160906168,0.01305466350004563,129.0,M1-T2,0.06381620886195533,expression
Apoa5,0.003885088491857944,0.7379917851950257,0.8721721097759395,71.0,M1-T2,-0.004225466123616909,expression
Arg1,0.04662213466573017,5.9086835944697866e-05,0.0004970245611818703,131.0,M1-T2,-0.08903346908853775,expression
Arhgef37,0.0441108574132987,0.0001447728307896329,0.0011501397112731945,130.0,M1-T2,-0.04001394405844549,expression
Asprv1,0.007748648339636351,0.5046560871373612,0.7559153575512526,83.0,M1-T2,-0.013420714674530109,expression
Azgp1,0.015622529567213673,0.17855801130381496,0.5018529746339965,107.0,M1-T2,-0.007505373848474731,expression
Batf3,0.008847774701146557,0.4461655241228128,0.7428738627413671,89.0,M1-T2,-0.048148520841512214,expression
Bcl11b,-0.005763098981780363,0.6197415659851575,0.8132784915216508,41.0,M1-T2,-0.06275491898627451,expression
C1qa,0.020991246117660338,0.07067177009529879,0.27313684117912773,117.0,M1-T2,-0.07802651107229755,expression
C1qb,0.012618849700007033,0.27723685187102187,0.6394333841541311,102.0,M1-T2,-0.08034529148828051,expression
C1qc,0.008536099371329035,0.46234806841945225,0.7428738627413671,87.0,M1-T2,-0.06371034202658356,expression
Camk4,-0.0690690132154429,2.6155586472873675e-09,4.1558320729121504e-08,3.0,M1-T2,0.0796270214587815,expression
Ccl24,0.0019707290445862705,0.8652592440310725,0.944375148711712,65.0,M1-T2,-0.0006168263638898878,expression
Ccr2,-0.016856216964691088,0.14665410013848101,0.44620290042133587,13.0,M1-T2,-0.10038715072675189,expression
Ccr4,-0.00886793120782697,0.44513019487435557,0.7428738627413671,30.0,M1-T2,-0.01706776073810005,expression
Ccr9,0.001772324819301627,0.8787135107443271,0.944375148711712,62.0,M1-T2,-0.05450687117559697,expression
Cd200r3,0.017135957659951597,0.14006657772190687,0.4354243611789714,110.0,M1-T2,-0.00682564103349164,expression
Cd22,0.018660934841241657,0.10808117177549137,0.359432734044076,112.0,M1-T2,-0.0997224908117882,expression
Cd247,0.008217974478522436,0.4791977986695598,0.7448400566276854,85.0,M1-T2,-0.05333416496076494,expression
Cd28,-0.008605666880001816,0.45870791296146146,0.7428738627413671,32.0,M1-T2,-0.04425257003941867,expression
Cd300e,-0.009309701278498585,0.4227853447875524,0.7372963939587804,29.0,M1-T2,0.00398235467696135,expression
Cd3g,-0.002735197632887681,0.8138163614556727,0.9239536919218383,49.0,M1-T2,-0.03748498406505596,expression
Cd4,0.00040113340752421286,0.9724479307939545,0.9792961556587007,58.0,M1-T2,-0.054275801615686084,expression
Cd79a,-0.013845886187509093,0.23317841835834482,0.6062638877316965,15.0,M1-T2,-0.06745798199414674,expression
Cd8a,0.004566927412244938,0.6941553803049099,0.8272018281966842,72.0,M1-T2,-0.051772544426789364,expression
Cd8b1,0.016071235458970972,0.16640444934962548,0.4957465886874259,109.0,M1-T2,-0.022636456379191656,expression
Cd96,0.001296668326755482,0.9111045939071613,0.9530855074137998,60.0,M1-T2,-0.045849729731960644,expression
Chil1,-0.008710817654961619,0.45323645673940577,0.7428738627413671,31.0,M1-T2,-0.10670759607264811,expression
Chst3,0.0018783232995899634,0.8715208870618592,0.944375148711712,64.0,M1-T2,-0.04519862420529598,expression
Cldn4,0.009026484991409216,0.43703406232680353,0.7428738627413671,90.0,M1-T2,0.036381710933702155,expression
Cldn5,-0.012090221527788603,0.29786325866228947,0.6453703937682939,21.0,M1-T2,-0.042165179267124445,expression
Clec14a,-0.006982034975478573,0.5477252338991636,0.783247084475804,36.0,M1-T2,-0.049850377424008246,expression
Col5a2,0.007422833705976659,0.5227401296793918,0.762773862695439,81.0,M1-T2,-0.06368585211041719,expression
Col6a6,0.019405757190428922,0.09471659850178077,0.3224874663274917,113.0,M1-T2,-0.017327836026166266,expression
Cpa3,-0.0011699533011032522,0.9197608393224082,0.9530855074137998,53.0,M1-T2,-0.009522756257101939,expression
Cr2,0.003411483316091116,0.76896016761084,0.8939943412060986,69.0,M1-T2,-0.029702385888843476,expression
Csrp3,0.004645635613781373,0.6891570996685976,0.8272018281966842,73.0,M1-T2,-0.008299674284200455,expression
Cxcl14,-0.0017188518663143696,0.8823458067646527,0.944375148711712,50.0,M1-T2,-0.05143100039375525,expression
Cxcl3,0.005093119791642278,0.6610028267917231,0.8272018281966842,75.0,M1-T2,0.0019440408372036662,expression
Cxcr2,0.0027268354953451732,0.814375172033034,0.9239536919218383,67.0,M1-T2,-0.023637852271509854,expression
Cyp11a1,0.10418028719434434,2.3713301774377024e-19,6.7820043074718284e-18,140.0,M1-T2,-0.013600647819311449,expression
Cyp2j5,-0.0046043312684363805,0.6917784135381376,0.8272018281966842,48.0,M1-T2,0.0016271897322645355,expression
Cyp4b1,-0.005034814612444493,0.6646451998524008,0.8272018281966842,44.0,M1-T2,-0.09999624403556127,expression
Dab2,0.013963955550044585,0.22921683468117662,0.6062638877316965,105.0,M1-T2,-0.04985106686817713,expression
Ebf1,0.006570305289872614,0.5715838268067011,0.8013381101309632,78.0,M1-T2,-0.07725113322769274,expression
