generations,edit_rate,iteration,site_edit_frac
23,0.098,1,0.9
24,0.093,1,0.9
25,0.08600000000000001,1,0.9
26,0.08700000000000001,1,0.9
27,0.081,1,0.9
28,0.083,1,0.9
29,0.076,1,0.9
30,0.077,1,0.9
31,0.074,1,0.9
32,0.07200000000000001,1,0.9
33,0.068,1,0.9
34,0.064,1,0.9
35,0.062,1,0.9
36,0.063,1,0.9
37,0.058,1,0.9
38,0.06,1,0.9
39,0.06,1,0.9
40,0.053,1,0.9
41,0.053,1,0.9
42,0.053,1,0.9
43,0.054,1,0.9
44,0.054,1,0.9
45,0.055,1,0.9
46,0.048,1,0.9
47,0.048,1,0.9
48,0.049,1,0.9
49,0.045,1,0.9
50,0.045,1,0.9
51,0.05,1,0.9
52,0.05,1,0.9
53,0.041,1,0.9
54,0.044,1,0.9
55,0.037,1,0.9
56,0.037,1,0.9
57,0.039,1,0.9
58,0.043000000000000003,1,0.9
59,0.04,1,0.9
60,0.038,1,0.9
61,0.035,1,0.9
62,0.035,1,0.9
63,0.035,1,0.9
64,0.035,1,0.9
65,0.035,1,0.9
66,0.036000000000000004,1,0.9
67,0.036000000000000004,1,0.9
68,0.036000000000000004,1,0.9
69,0.036000000000000004,1,0.9
70,0.033,1,0.9
71,0.033,1,0.9
72,0.034,1,0.9
73,0.034,1,0.9
74,0.034,1,0.9
75,0.034,1,0.9
76,0.027,1,0.9
77,0.027,1,0.9
78,0.03,1,0.9
79,0.03,1,0.9
80,0.03,1,0.9
81,0.028,1,0.9
82,0.029,1,0.9
83,0.029,1,0.9
84,0.028,1,0.9
85,0.029,1,0.9
86,0.029,1,0.9
87,0.029,1,0.9
88,0.029,1,0.9
89,0.025,1,0.9
90,0.025,1,0.9
91,0.025,1,0.9
92,0.025,1,0.9
93,0.025,1,0.9
94,0.025,1,0.9
95,0.025,1,0.9
96,0.022,1,0.9
97,0.022,1,0.9
98,0.022,1,0.9
99,0.023,1,0.9
100,0.023,1,0.9
2,0.28400000000000003,2,0.5
3,0.221,2,0.5
4,0.158,2,0.5
5,0.13,2,0.5
6,0.106,2,0.5
7,0.1,2,0.5
8,0.08,2,0.5
9,0.074,2,0.5
10,0.068,2,0.5
11,0.065,2,0.5
12,0.056,2,0.5
13,0.055,2,0.5
14,0.049,2,0.5
15,0.047,2,0.5
16,0.037,2,0.5
17,0.04,2,0.5
18,0.04,2,0.5
19,0.038,2,0.5
20,0.035,2,0.5
21,0.033,2,0.5
22,0.036000000000000004,2,0.5
23,0.032,2,0.5
24,0.032,2,0.5
25,0.028,2,0.5
26,0.026000000000000002,2,0.5
27,0.027,2,0.5
28,0.023,2,0.5
29,0.024,2,0.5
30,0.024,2,0.5
31,0.023,2,0.5
32,0.02,2,0.5
33,0.021,2,0.5
34,0.021,2,0.5
35,0.019,2,0.5
